"Time differences (ps)"	"Counts per bin"
34550	16490
34600	16772
34650	16937
34700	16553
34750	16787
34800	16965
34850	16805
34900	16764
34950	16813
35000	16621
35050	16676
35100	16840
35150	16742
35200	16824
35250	16827
35300	16850
35350	17043
35400	16821
35450	16632
35500	16568
35550	16844
35600	17061
35650	17014
35700	16817
35750	16751
35800	16929
35850	16614
35900	16813
35950	16893
36000	17161
36050	16794
36100	16705
36150	16766
36200	16851
36250	16846
36300	17069
36350	17033
36400	16604
36450	16642
36500	16830
36550	16975
36600	16843
36650	16803
36700	16886
36750	16781
36800	16752
36850	16860
36900	16854
36950	16882
37000	16829
37050	16623
37100	16875
37150	16746
37200	16911
37250	16859
37300	16696
37350	16683
37400	16651
37450	16624
37500	16819
37550	16874
37600	16853
37650	16761
37700	16617
37750	17078
37800	16668
37850	16549
37900	16712
37950	16827
38000	16641
38050	16531
38100	16739
38150	16892
38200	16864
38250	16548
38300	16805
38350	16799
38400	16767
38450	16653
38500	16642
38550	16966
38600	16835
38650	16719
38700	16635
38750	16843
38800	16901
38850	16896
38900	16501
38950	16820
39000	16664
39050	16761
39100	16975
39150	16797
39200	16677
39250	16996
39300	16846
39350	16653
39400	16525
39450	16876
39500	16830
39550	16859
39600	16765
39650	16860
39700	16907
39750	16685
39800	16979
39850	16720
39900	16570
39950	16434
40000	16771
40050	17140
40100	16779
40150	16617
40200	16709
40250	17090
40300	16944
40350	16396
40400	16738
40450	16920
40500	16832
40550	17007
40600	16778
40650	16670
40700	16870
40750	16958
40800	16588
40850	16514
40900	16817
40950	16970
41000	16796
41050	16499
41100	16758
41150	16575
41200	16840
41250	17060
41300	17120
41350	16590
41400	16713
41450	16843
41500	16819
41550	16883
41600	16880
41650	16827
41700	16779
41750	16643
41800	16657
41850	17053
41900	16882
41950	16802
42000	16733
42050	16877
42100	16904
42150	16850
42200	16791
42250	16609
42300	16864
42350	16960
42400	16920
42450	16759
42500	17025
42550	17007
42600	16857
42650	16778
42700	17024
42750	16628
42800	16847
42850	16915
42900	16879
42950	16661
43000	16804
43050	16857
43100	17192
43150	16933
43200	16596
43250	16407
43300	16761
43350	17048
43400	17007
43450	16915
43500	16570
43550	16712
43600	17024
43650	16689
43700	16753
43750	16705
43800	16858
43850	16774
43900	17126
43950	16564
44000	16609
44050	16752
44100	16873
44150	16651
44200	16733
44250	17119
44300	16746
44350	16645
44400	16680
44450	16902
44500	16530
44550	16786
44600	16766
44650	16708
44700	16990
44750	16884
44800	16453
44850	16841
44900	16634
44950	16843
45000	16827
45050	16716
45100	16770
45150	16989
45200	16421
45250	16540
45300	16826
45350	16738
45400	16752
45450	16743
45500	16813
45550	16778
45600	17083
45650	16834
45700	16699
45750	16484
45800	16811
45850	16957
45900	16862
45950	16608
46000	16755
46050	16624
46100	17015
46150	16725
46200	16652
46250	16582
46300	16876
46350	16843
46400	16593
46450	16631
46500	16867
46550	16831
46600	16797
46650	16556
46700	16751
46750	16956
46800	16806
46850	16645
46900	16723
46950	16715
47000	16776
47050	16688
47100	16746
47150	16651
47200	16820
47250	16822
47300	16824
47350	16715
47400	16678
47450	16584
47500	16925
47550	16575
47600	16869
47650	16779
47700	16649
47750	16665
47800	16782
47850	16659
47900	16744
47950	16585
48000	16765
48050	16962
48100	16519
48150	16766
48200	16750
48250	16676
48300	16951
48350	16910
48400	16729
48450	16761
48500	16921
48550	16781
48600	16829
48650	16868
48700	16684
48750	16671
48800	16938
48850	16742
48900	16568
48950	16950
49000	16881
49050	16651
49100	16712
49150	17146
49200	16958
49250	16895
49300	16535
49350	16689
49400	16717
49450	16672
49500	17106
49550	16944
49600	16610
49650	16555
49700	16866
49750	16801
49800	16815
49850	16668
49900	16959
49950	16902
